Location,Lat,Lon
Matthew House Ottawa,45.350385694079726,-75.76626662678389
Western Ottawa Community Resource Centre,45.30118577389354,-75.87966632559025
Shepherds of Good Hope(1),45.29297611591561,-75.86665752634255
Shepherds of Good Hope(2),45.43176944804156,-75.68862901781854
Carling Family Shelter,45.35704549758195,-75.80354111513182
YSB,45.371245069547825,-75.68929504326837
Cornerstone Housing for Women(1),45.40946824588932,-75.70685694177543
Cornerstone Housing for Women(2),45.4188919317084,-75.69148372632142
Operation Come Home,45.41944919721175,-75.6975464028385
Minwaashin Lodge,45.42329924496458,-75.65063283455163
Salvation Army - Ottawa Both Centre,45.42907781106611,-75.68713147984376
Youth Services Bureau of Ottawa,45.42722499569673,-75.68676733106162
The Ottawa Mission,45.426841646992585,-75.68798116033543
St. Joe's Women's Center,45.425116545607054,-75.68467347556428
