Location,Lat,Lon
Matthew House Ottawa,45.350385694079726,-75.76626662678389
Western Ottawa Community Resource Centre,45.30118577389354,-75.87966632559025
Shepherds of Good Hope - King Edward Ave,45.431596435514905,-75.68869370120741
Shepherds of Good Hope - Castlefrank Rd,45.291733482266984,-75.88038506670554
Carling Family Shelter,45.35704549758195,-75.80354111513182
YSB,45.371245069547825,-75.68929504326837
Cornerstone Housing for Women - O'Connor St,45.41846764269778,-75.696406293044
Cornerstone Housing for Women - Booth St,45.408842431646384,-75.71026794938653
Operation Come Home,45.41944919721175,-75.6975464028385
Minwaashin Lodge - Lola St,45.422819414398646,-75.65073781494796
Minwaashin Lodge - Catherine St,45.40642469808014,-75.69928318611208
Salvation Army - Ottawa Both Centre,45.42907781106611,-75.68713147984376
Youth Services Bureau of Ottawa,45.42722499569673,-75.68676733106162
The Ottawa Mission,45.426841646992585,-75.68798116033543
St. Joe's Women's Center,45.425116545607054,-75.68467347556428
